年,週,月,開始日,終了日,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,19,5,2025-05-05,2025-05-11,愛媛県,2379,62.61
2025,19,5,2025-05-05,2025-05-11,高知県,1010,26.58
2025,19,5,2025-05-05,2025-05-11,福岡県,5212,42.72
2025,19,5,2025-05-05,2025-05-11,佐賀県,1302,56.61
2025,19,5,2025-05-05,2025-05-11,長崎県,2725,53.43
2025,19,5,2025-05-05,2025-05-11,熊本県,3308,45.32
2025,19,5,2025-05-05,2025-05-11,大分県,3202,55.21
2025,19,5,2025-05-05,2025-05-11,宮崎県,1198,42.79
2025,19,5,2025-05-05,2025-05-11,鹿児島県,2820,49.47
2025,19,5,2025-05-05,2025-05-11,沖縄県,2215,49.22
2025,20,5,2025-05-12,2025-05-18,総数,231866,60.26
2025,20,5,2025-05-12,2025-05-18,北海道,9004,53.6
2025,20,5,2025-05-12,2025-05-18,青森県,3312,63.69
2025,20,5,2025-05-12,2025-05-18,岩手県,4059,96.64
2025,20,5,2025-05-12,2025-05-18,宮城県,4553,84.31
2025,20,5,2025-05-12,2025-05-18,秋田県,1423,56.92
2025,20,5,2025-05-12,2025-05-18,山形県,3135,82.5
2025,20,5,2025-05-12,2025-05-18,福島県,3574,74.46
2025,20,5,2025-05-12,2025-05-18,茨城県,4741,69.72
2025,20,5,2025-05-12,2025-05-18,栃木県,4533,96.45
2025,20,5,2025-05-12,2025-05-18,群馬県,3834,85.2
2025,20,5,2025-05-12,2025-05-18,埼玉県,13223,75.56
2025,20,5,2025-05-12,2025-05-18,千葉県,12295,67.55
2025,20,5,2025-05-12,2025-05-18,東京都,22974,54.83
2025,20,5,2025-05-12,2025-05-18,神奈川県,16193,67.75
2025,20,5,2025-05-12,2025-05-18,新潟県,3484,67.0
2025,20,5,2025-05-12,2025-05-18,富山県,3586,76.3
2025,20,5,2025-05-12,2025-05-18,石川県,2700,56.25
2025,20,5,2025-05-12,2025-05-18,福井県,1772,45.44
2025,20,5,2025-05-12,2025-05-18,山梨県,1525,43.57
2025,20,5,2025-05-12,2025-05-18,長野県,5057,62.43
2025,20,5,2025-05-12,2025-05-18,岐阜県,1925,42.78
2025,20,5,2025-05-12,2025-05-18,静岡県,6213,45.02
2025,20,5,2025-05-12,2025-05-18,愛知県,11781,72.28
2025,20,5,2025-05-12,2025-05-18,三重県,3022,42.56
2025,20,5,2025-05-12,2025-05-18,滋賀県,3137,54.09
2025,20,5,2025-05-12,2025-05-18,京都府,3600,56.25
2025,20,5,2025-05-12,2025-05-18,大阪府,11849,40.58
2025,20,5,2025-05-12,2025-05-18,兵庫県,8912,54.34
2025,20,5,2025-05-12,2025-05-18,奈良県,1878,45.8
2025,20,5,2025-05-12,2025-05-18,和歌山県,2115,47.0
2025,20,5,2025-05-12,2025-05-18,鳥取県,1712,59.03
2025,20,5,2025-05-12,2025-05-18,島根県,1237,61.85
2025,20,5,2025-05-12,2025-05-18,岡山県,3603,72.06
2025,20,5,2025-05-12,2025-05-18,広島県,5509,59.24
2025,20,5,2025-05-12,2025-05-18,山口県,4697,74.56
2025,20,5,2025-05-12,2025-05-18,徳島県,1482,43.59
2025,20,5,2025-05-12,2025-05-18,香川県,2228,55.7
2025,20,5,2025-05-12,2025-05-18,愛媛県,2895,76.18
2025,20,5,2025-05-12,2025-05-18,高知県,1438,37.84
2025,20,5,2025-05-12,2025-05-18,福岡県,6297,51.61
2025,20,5,2025-05-12,2025-05-18,佐賀県,1692,70.5
2025,20,5,2025-05-12,2025-05-18,長崎県,3655,71.67
2025,20,5,2025-05-12,2025-05-18,熊本県,4162,57.01
2025,20,5,2025-05-12,2025-05-18,大分県,3646,62.86
2025,20,5,2025-05-12,2025-05-18,宮崎県,1501,53.61
2025,20,5,2025-05-12,2025-05-18,鹿児島県,4119,72.26
2025,20,5,2025-05-12,2025-05-18,沖縄県,2584,57.42
2025,21,5,2025-05-19,2025-05-25,総数,220611,57.29
2025,21,5,2025-05-19,2025-05-25,北海道,9318,55.46
2025,21,5,2025-05-19,2025-05-25,青森県,3148,60.54
2025,21,5,2025-05-19,2025-05-25,岩手県,3974,94.62
2025,21,5,2025-05-19,2025-05-25,宮城県,4481,82.98
2025,21,5,2025-05-19,2025-05-25,秋田県,1314,52.56
2025,21,5,2025-05-19,2025-05-25,山形県,2958,77.84
2025,21,5,2025-05-19,2025-05-25,福島県,3315,69.06
2025,21,5,2025-05-19,2025-05-25,茨城県,4404,64.76
2025,21,5,2025-05-19,2025-05-25,栃木県,4083,86.87
2025,21,5,2025-05-19,2025-05-25,群馬県,3479,77.31
2025,21,5,2025-05-19,2025-05-25,埼玉県,13054,74.17
2025,21,5,2025-05-19,2025-05-25,千葉県,11626,63.53
2025,21,5,2025-05-19,2025-05-25,東京都,22206,53.0
2025,21,5,2025-05-19,2025-05-25,神奈川県,15760,65.67
2025,21,5,2025-05-19,2025-05-25,新潟県,3274,62.96
2025,21,5,2025-05-19,2025-05-25,富山県,3420,72.77
2025,21,5,2025-05-19,2025-05-25,石川県,2647,55.15
2025,21,5,2025-05-19,2025-05-25,福井県,1644,42.15
2025,21,5,2025-05-19,2025-05-25,山梨県,1335,38.14
2025,21,5,2025-05-19,2025-05-25,長野県,4526,55.88
2025,21,5,2025-05-19,2025-05-25,岐阜県,1804,40.09
2025,21,5,2025-05-19,2025-05-25,静岡県,5987,43.07
2025,21,5,2025-05-19,2025-05-25,愛知県,10821,66.39
2025,21,5,2025-05-19,2025-05-25,三重県,3054,43.63
2025,21,5,2025-05-19,2025-05-25,滋賀県,2932,50.55
2025,21,5,2025-05-19,2025-05-25,京都府,3365,52.58
2025,21,5,2025-05-19,2025-05-25,大阪府,11001,37.67
2025,21,5,2025-05-19,2025-05-25,兵庫県,8524,52.29
2025,21,5,2025-05-19,2025-05-25,奈良県,1800,43.9
2025,21,5,2025-05-19,2025-05-25,和歌山県,2056,45.69
2025,21,5,2025-05-19,2025-05-25,鳥取県,1792,61.79
2025,21,5,2025-05-19,2025-05-25,島根県,1132,56.6
2025,21,5,2025-05-19,2025-05-25,岡山県,3086,61.72
2025,21,5,2025-05-19,2025-05-25,広島県,5138,54.66
2025,21,5,2025-05-19,2025-05-25,山口県,4505,71.51
2025,21,5,2025-05-19,2025-05-25,徳島県,1471,43.26
2025,21,5,2025-05-19,2025-05-25,香川県,2014,50.35
2025,21,5,2025-05-19,2025-05-25,愛媛県,2664,70.11
2025,21,5,2025-05-19,2025-05-25,高知県,1528,40.21
2025,21,5,2025-05-19,2025-05-25,福岡県,5861,48.04
2025,21,5,2025-05-19,2025-05-25,佐賀県,1538,64.08
2025,21,5,2025-05-19,2025-05-25,長崎県,3415,66.96
2025,21,5,2025-05-19,2025-05-25,熊本県,3979,54.51
2025,21,5,2025-05-19,2025-05-25,大分県,3548,61.17
2025,21,5,2025-05-19,2025-05-25,宮崎県,1401,50.04
2025,21,5,2025-05-19,2025-05-25,鹿児島県,3825,67.11
2025,21,5,2025-05-19,2025-05-25,沖縄県,2404,53.42
2025,22,5,2025-05-26,2025-06-01,総数,225623,58.63
2025,22,5,2025-05-26,2025-06-01,北海道,9579,57.02
2025,22,5,2025-05-26,2025-06-01,青森県,3241,62.33
2025,22,5,2025-05-26,2025-06-01,岩手県,4272,101.71
2025,22,5,2025-05-26,2025-06-01,宮城県,4268,79.04
2025,22,5,2025-05-26,2025-06-01,秋田県,1447,57.88
2025,22,5,2025-05-26,2025-06-01,山形県,2992,78.74
2025,22,5,2025-05-26,2025-06-01,福島県,3652,76.08
2025,22,5,2025-05-26,2025-06-01,茨城県,4776,70.24
2025,22,5,2025-05-26,2025-06-01,栃木県,3841,81.72
2025,22,5,2025-05-26,2025-06-01,群馬県,3770,83.78
2025,22,5,2025-05-26,2025-06-01,埼玉県,14218,80.78
2025,22,5,2025-05-26,2025-06-01,千葉県,12222,66.79
2025,22,5,2025-05-26,2025-06-01,東京都,23456,55.98
2025,22,5,2025-05-26,2025-06-01,神奈川県,16176,67.68
2025,22,5,2025-05-26,2025-06-01,新潟県,3582,68.88
2025,22,5,2025-05-26,2025-06-01,富山県,3403,70.9
2025,22,5,2025-05-26,2025-06-01,石川県,2458,51.21
2025,22,5,2025-05-26,2025-06-01,福井県,1449,37.15
2025,22,5,2025-05-26,2025-06-01,山梨県,1223,34.94
2025,22,5,2025-05-26,2025-06-01,長野県,4469,55.17
2025,22,5,2025-05-26,2025-06-01,岐阜県,1663,36.96
2025,22,5,2025-05-26,2025-06-01,静岡県,5949,42.8
2025,22,5,2025-05-26,2025-06-01,愛知県,10508,64.86
2025,22,5,2025-05-26,2025-06-01,三重県,2867,40.96
2025,22,5,2025-05-26,2025-06-01,滋賀県,2965,51.12
2025,22,5,2025-05-26,2025-06-01,京都府,3461,54.94
2025,22,5,2025-05-26,2025-06-01,大阪府,11272,38.6
2025,22,5,2025-05-26,2025-06-01,兵庫県,8634,52.97
2025,22,5,2025-05-26,2025-06-01,奈良県,1909,46.56
2025,22,5,2025-05-26,2025-06-01,和歌山県,1824,40.53
2025,22,5,2025-05-26,2025-06-01,鳥取県,1776,61.24
2025,22,5,2025-05-26,2025-06-01,島根県,1171,58.55
2025,22,5,2025-05-26,2025-06-01,岡山県,3078,61.56
2025,22,5,2025-05-26,2025-06-01,広島県,4950,53.23
2025,22,5,2025-05-26,2025-06-01,山口県,4510,71.59
2025,22,5,2025-05-26,2025-06-01,徳島県,1487,43.74
2025,22,5,2025-05-26,2025-06-01,香川県,1932,48.3
2025,22,5,2025-05-26,2025-06-01,愛媛県,2911,76.61
2025,22,5,2025-05-26,2025-06-01,高知県,1613,42.45
2025,22,5,2025-05-26,2025-06-01,福岡県,6072,49.77
2025,22,5,2025-05-26,2025-06-01,佐賀県,1571,65.46
2025,22,5,2025-05-26,2025-06-01,長崎県,3366,66.0
2025,22,5,2025-05-26,2025-06-01,熊本県,4087,55.99
2025,22,5,2025-05-26,2025-06-01,大分県,3465,59.74
2025,22,5,2025-05-26,2025-06-01,宮崎県,1452,51.86
2025,22,5,2025-05-26,2025-06-01,鹿児島県,4069,71.39
2025,22,5,2025-05-26,2025-06-01,沖縄県,2567,57.04
2025,23,6,2025-06-02,2025-06-08,総数,231814,60.24
2025,23,6,2025-06-02,2025-06-08,北海道,9689,57.67
2025,23,6,2025-06-02,2025-06-08,青森県,3188,61.31
2025,23,6,2025-06-02,2025-06-08,岩手県,3957,96.51
2025,23,6,2025-06-02,2025-06-08,宮城県,4353,80.61
2025,23,6,2025-06-02,2025-06-08,秋田県,1535,61.4
2025,23,6,2025-06-02,2025-06-08,山形県,2856,75.16
2025,23,6,2025-06-02,2025-06-08,福島県,3501,72.94
2025,23,6,2025-06-02,2025-06-08,茨城県,4875,71.69
2025,23,6,2025-06-02,2025-06-08,栃木県,3704,78.81
2025,23,6,2025-06-02,2025-06-08,群馬県,3759,83.53
2025,23,6,2025-06-02,2025-06-08,埼玉県,14376,82.62
2025,23,6,2025-06-02,2025-06-08,千葉県,12774,70.19
2025,23,6,2025-06-02,2025-06-08,東京都,24475,58.55
2025,23,6,2025-06-02,2025-06-08,神奈川県,17852,73.77
2025,23,6,2025-06-02,2025-06-08,新潟県,3382,65.04
2025,23,6,2025-06-02,2025-06-08,富山県,3317,69.1
2025,23,6,2025-06-02,2025-06-08,石川県,2635,56.06
2025,23,6,2025-06-02,2025-06-08,福井県,1480,37.95
2025,23,6,2025-06-02,2025-06-08,山梨県,1307,37.34
2025,23,6,2025-06-02,2025-06-08,長野県,4639,57.27
2025,23,6,2025-06-02,2025-06-08,岐阜県,1733,38.51
2025,23,6,2025-06-02,2025-06-08,静岡県,6537,47.37
2025,23,6,2025-06-02,2025-06-08,愛知県,10669,65.45
2025,23,6,2025-06-02,2025-06-08,三重県,2875,41.67
2025,23,6,2025-06-02,2025-06-08,滋賀県,3132,54.0
2025,23,6,2025-06-02,2025-06-08,京都府,3490,54.53
2025,23,6,2025-06-02,2025-06-08,大阪府,11714,40.12
2025,23,6,2025-06-02,2025-06-08,兵庫県,8457,51.57
2025,23,6,2025-06-02,2025-06-08,奈良県,1917,46.76
2025,23,6,2025-06-02,2025-06-08,和歌山県,1958,43.51
2025,23,6,2025-06-02,2025-06-08,鳥取県,1913,65.97
2025,23,6,2025-06-02,2025-06-08,島根県,1227,61.35
2025,23,6,2025-06-02,2025-06-08,岡山県,2964,59.28
2025,23,6,2025-06-02,2025-06-08,広島県,5050,53.16
2025,23,6,2025-06-02,2025-06-08,山口県,4742,75.27
